"ID","lift","sq_mtrs","floor_build","available","log_cfees","stairs","hc","log_age","sell_price","logp_mq","baths_n","rooms_n","energy_class_1","energy_class_3","energy_class_4","energy_class_5","energy_class_6","energy_class_7","energy_class_8","cond_1","cond_2","cond_3","cond_4","cp_box","cp_shared","nord","est","sud","ovest","centro","feat_security_door","feat_centralized_tv_system","feat_optic_fiber","feat_balcony","feat_cellar","feat_video_entryphone","feat_electric_gate","feat_shared_garden","feat_full_day_concierge","feat_double_exposure"
1,1,135,22,1,6.03548143252476,3,1,4.26267987704132,1125000,9.02801881518223,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0
2,1,57,22,1,5.25227342804663,2,1,3.04452243772342,5e+05,9.07931210956978,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0
3,1,92,23,1,5.30330490805908,2,1,4.26267987704132,395000,8.36485246683422,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0
4,0,63,23,0,5.34233425196481,2,1,4.26267987704132,340000,8.59356617020081,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
5,0,38,19,1,4.39444915467244,2,0,4.61512051684126,199000,8.56347394398024,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
6,0,45,20,1,4.61512051684126,2,1,4.78749174278205,299000,8.8015363626025,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0
7,0,60,21,0,5.12396397940326,6,1,4.39444915467244,145000,7.79014445918061,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
8,1,230,21,1,6.39859493453521,2,1,4.11087386417331,1400000,8.71390348566229,3,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1
9,0,50,18,1,5.30330490805908,3,0,4.87519732320115,590000,9.37585481045376,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0
10,1,170,21,1,6.21660610108486,7,1,4.11087386417331,1290000,8.93435433928759,2,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1
11,1,66,23,1,4.61512051684126,2,0,4.11087386417331,419000,8.75597145687785,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0
12,1,60,18,1,4.11087386417331,11,0,4.51085950651685,220000,8.2070382631124,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0
13,0,60,1,1,5.01727983681492,2,1,4.51085950651685,199000,8.10671554148453,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0
14,0,70,19,1,5.30330490805908,2,1,4.26267987704132,350000,8.51719319141624,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1
15,1,85,19,0,5.52545293913178,4,0,4.87519732320115,1050000,9.42164946564339,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1
16,1,86,23,1,5.52545293913178,9,1,4.26267987704132,465000,8.59544538831599,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1
17,1,40,18,1,4.26267987704132,3,0,2.07944154167984,230000,8.6569551337914,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
