Zona,Latitudine,Longitudine,minmetrodist,meanmetrodist
quadronno - crocetta,45.459599999999995,9.19715,0.01413972709071078,2.318781026074773
porta romana - medaglie d'oro,45.452799999999996,9.20275,0.0018937648098487705,2.9168432544572536
gallaratese,45.496399999999994,9.10125,0.015023043848065274,8.868070448242834
martini - insubria,45.447050000000004,9.218350000000001,0.04850010178534829,4.033893830136026
navigli - darsena,45.45155,9.17425,0.005445498613493929,2.9324495127564605
giambellino,45.448,9.135649999999998,0.13594508957469534,4.755089684100039
morgagni,45.4767,9.20125,0.009612455381672607,1.9464608635691163
ticinese,45.45715,9.1796,0.04545689025939861,2.4151629691176106
de angeli,45.46665,9.143650000000001,0.007199472134112198,3.589229906369676
palestro,45.46995,9.20125,0.002290287990429436,2.248267713852924
cermenate - abbiategrasso,45.4324,9.1747,0.023615568995973606,3.9240388536430624
vigentino - fatima,45.42575,9.1999,0.3017053649928255,4.35187721782545
rovereto,45.49735,9.21765,0.01721968394685373,3.031184210727559
brera,45.47055,9.188200000000002,0.016901332984459616,2.003324242978759
pezzotti - meda,45.44245,9.187650000000001,0.23180157343322993,3.0901803654659834
dergano,45.5023,9.17765,0.019893416037764445,2.740463935731346
ghisolfa - mac mahon,45.49185,9.15645,0.41456418729385686,2.7261154741894913
crescenzago,45.51135000000001,9.2378,0.11303480854802116,5.512645283631385
villa san giovanni,45.5185,9.22485,0.04353464107437982,4.514346138974659
barona,45.4357,9.13815,0.45045424140592294,4.95252995995525
dezza,45.46,9.157499999999999,0.0634212644721058,3.286854871603999
quartiere olmi,45.45355,9.08365,0.7234131656642708,12.782407874190831
famagosta,45.433099999999996,9.1649,0.05450830535328735,4.464911771612856
pagano,45.466499999999996,9.15925,0.0020978683014267192,2.8432747801467895
tre castelli - faenza,45.48165,9.1902,0.04841806828413571,4.086622298466413
viale ungheria - mecenate,45.45140000000001,9.25515,0.3523439659096077,5.513013963931507
cascina dei pomi,45.4997,9.2141,0.15418878615714462,4.5829450956325495
san siro,45.47395,9.120650000000001,0.14590277659540984,6.195020990487849
san vittore,45.46105,9.17095,0.0022254606057120715,2.43409434537857
baggio,45.4671,9.08825,0.3483483172767702,10.253232891798662
isola,45.4852,9.18955,0.0014117522027481376,1.996861860399416
cantalupa - san paolo,45.4439,9.132850000000001,0.10847011937788235,6.595823116474425
corvetto,45.4386,9.22375,0.0048702326922129965,5.35108308874132
bruzzano,45.5314,9.16405,0.03997755642320386,5.208521896462889
indipendenza,45.48195,9.2056,0.01617139501717565,2.392462515094053
bisceglie,45.4557,9.1054,0.01976512263459719,8.41958570177409
quinto romano,45.4706,9.075800000000001,1.2328663582348482,13.002574242894072
amendola - buonarroti,45.4733,9.144200000000001,0.03352597837893025,4.261927875990799
qt8,45.4858,9.1362,0.028498399421087377,4.878793676438874
città studi,45.479150000000004,9.221900000000002,0.006093402839912776,3.337945061662906
porta venezia,45.47275,9.2084,7.034807555215696e-4,2.3683833414625086
pasteur,45.4877,9.2192,0.010839148709911681,3.008616867674348
cascina merlata - musocco,45.50965000000001,9.11325,0.17058254620403682,7.7786178022573305
niguarda,45.51965,9.1826,0.15806560770389447,3.594132034112111
bovisa,45.50605,9.16415,0.37498018089749435,3.286563283101283
cimiano,45.50375,9.2364,0.0905290029493146,4.91903362707782
quartiere adriano,45.522549999999995,9.2424,0.12681777156014862,6.431291366435802
arco della pace,45.47325,9.1707,0.10058249793120462,2.1777801449376084
corso genova,45.45765,9.17865,0.017712363970026818,2.368794733106911
piave - tricolore,45.46935,9.21095,0.07904758820391727,2.6915733367350736
piazzale siena,45.4628,9.12855,0.04320256302112495,5.643856368307587
parco trotter,45.49145,9.220400000000001,0.006860518006176045,3.3240976872179866
cadore,45.46095,9.21525,0.319119008982519,3.385121438678612
repubblica,45.4797,9.1992,0.001908860052556322,2.0877777638644224
molise - cuoco,45.44755000000001,9.2259,0.01510027564071017,4.322471808654013
roserio,45.515299999999996,9.12145,0.4679493631487615,5.833295652034228
centrale,45.4858,9.201049999999999,0.005025324883738516,2.251347669744121
greco - segnano,45.511750000000006,9.21565,0.03605739243383674,3.7711408946449807
gambara,45.463300000000004,9.13145,0.04284745874862043,4.963405741739524
ortica,45.471000000000004,9.2409,0.19333931543062938,5.050218619854469
rogoredo,45.4338,9.24855,0.09463137567753757,7.309996576193472
buenos aires,45.4799,9.211849999999998,0.00850177890354368,2.6871884345486814
bignami - ponale,45.52775,9.205549999999999,0.0819883312763269,4.347788543725641
certosa,45.50085,9.132200000000001,0.0869613325825012,6.328138102679411
tripoli - soderini,45.4543,9.134899999999998,0.01675198549951768,4.529387064447664
bologna - sulmona,45.46835,9.23405,0.005398505807608151,4.932948898938222
lodi - brenta,45.441449999999996,9.2192,2.532262679945697e-4,4.246632295230797
udine,45.4842,9.233550000000001,0.06654687958039734,3.688746265673006
precotto,45.516549999999995,9.22565,0.011514376494907885,4.339781680754012
monte rosa - lotto,45.47525,9.142800000000001,0.005811356310010917,3.620064145269607
sempione,45.476,9.1693,0.21411391687191333,2.275979898387573
corso san gottardo,45.45155,9.1805,0.11535744836742651,2.631533395617571
montenero,45.45405,9.2099,0.09292721287697216,2.9139140852521632
turro,45.49825,9.2257,0.005766706219623192,3.480729030632331
turati,45.47065,9.194600000000001,0.004992253104883977,2.161993649565519
chiesa rossa,45.429500000000004,9.1797,0.0011024895740938316,4.467091547286041
bande nere,45.46,9.13585,0.020915415399445435,4.301234066253863
quartiere forlanini,45.457449999999994,9.2598,0.622764760246872,7.858347567995162
ponte nuovo,45.50895,9.2283,0.03196292013863346,3.2017324615192173
borgogna - largo augusto,45.4627,9.1997,0.004767292201679745,2.2894254982090376
cenisio,45.48395000000001,9.17125,0.24873805154474268,2.2252646889873584
gorla,45.50845,9.22255,0.06105952580688288,3.5585747810579655
bovisasca,45.5192,9.1641,0.3596297757954729,4.985945989450119
primaticcio,45.457300000000004,9.12715,0.04653625441901266,5.250086281600244
via fra' cristoforo,45.4441,9.1708,0.058099720708823,3.49573007213711
affori,45.52655,9.1741,0.10469911790024718,3.984002676658918
argonne - corsica,45.46695,9.230350000000001,0.3169385912739811,4.119816942873707
quarto oggiaro,45.51845,9.13365,0.8189186325290794,5.822553976537772
porta vittoria,45.4625,9.218250000000001,0.21745271565246527,3.0343555864228398
maggiolina,45.49535,9.202849999999998,0.012533945153940983,2.1738979124334317
bocconi,45.44975,9.1891,0.10155298866741048,2.80178297564141
san carlo,45.462199999999996,9.162749999999999,0.08877809471460199,7.189053801631309
missori,45.460899999999995,9.18955,0.0013588466169046401,2.2382845448777244
paolo sarpi,45.481700000000004,9.17935,0.06653822209838023,2.0278801786803085
ripamonti,45.43835,9.204799999999999,7.063271198153778e-4,3.5046073400608804
casoretto,45.481750000000005,9.2294,0.02575517447338096,3.7588246709810336
vercelli - wagner,45.46425,9.15175,0.004613019369305706,3.1376554546623936
istria,45.510999999999996,9.2043,0.08313927035510899,2.9766199078792246
ca' granda,45.512150000000005,9.1978,0.08178717435716024,3.294722139193243
vialba,45.5281,9.13425,0.5762257931650002,6.502684136358337
prato centenaro,45.5173,9.19155,0.11952632685128863,3.276835987712852
guastalla,45.4614,9.20185,0.051943417387038476,2.494985729368069
quintosole - chiaravalle,45.4089,9.22615,0.43529338407008056,6.938700103576951
vincenzo monti,45.4702,9.165949999999999,0.03059842785678631,2.227177214820586
rubattino,45.475,9.24905,0.17198525659755431,5.743445013733975
farini,45.490449999999996,9.1801,0.013976053546544392,2.2759055470121043
moscova,45.4773,9.186250000000001,3.2131933340456186e-5,1.9511519092355887
santa giulia,45.4472,9.243400000000001,0.28350033039191214,6.072447238568497
inganni,45.449799999999996,9.13205,0.022884653981142786,6.015440070921212
comasina,45.53035,9.164349999999999,0.007633883245025415,5.376395589889962
washington,45.45855,9.170350000000001,0.07908664928666947,2.974450083377251
ascanio sforza,45.447199999999995,9.174900000000001,0.028038261124283592,3.3955840423152432
solari,45.45995,9.16535,0.027480960933384656,2.662687840801014
melchiorre gioia,45.494,9.195350000000001,0.008104212554600981,2.1210668682436786
quarto cagnino,45.4606,9.09995,0.31087890465405166,9.59444847412421
zara,45.502,9.2003,0.0025768218913140187,2.324827459890294
arena,45.47745,9.19005,0.1171637925594214,2.7418297320434752
city life,45.47525,9.15945,0.04048422010501289,2.8998504358643573
sant'ambrogio,45.4653,9.17525,0.00902367731094823,2.316092163477453
lanza,45.4709,9.1893,0.0027705002314844032,1.9882275430603764
frua,45.4478,9.16675,0.028273164157190313,3.9507820962601876
portello - parco vittoria,45.4834,9.168949999999999,0.06903739016148824,3.319581908019669
garibaldi - corso como,45.485200000000006,9.18925,0.006150910870073498,1.9585174282229074
gratosoglio,45.42495,9.18085,0.37927154965382603,6.640374259871804
monte stella,45.4825,9.1413,0.005166944775616809,5.759190613121668
duomo,45.464150000000004,9.1917,0.011698235626785871,2.1882525482525628
bicocca,45.52425,9.2122,0.021154736662176446,4.059364330578928
ponte lambro,45.44305,9.251100000000001,0.03622648435161922,9.81154758547222
trenno,45.47935,9.084299999999999,0.40527008435084766,9.640087762302915
